W0505 05:44:42.031000 6249 torch/distributed/run.py:852] 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
[Gloo] Rank 0 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6973.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 41943.04it/s]
logs/f76c54c3-c5fe-46b4-8d17-4d9eed580620.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:329/1480 train_time:38301ms step_avg:116.42ms
step:330/1480 train_time:38413ms step_avg:116.40ms
step:331/1480 train_time:38530ms step_avg:116.40ms
step:332/1480 train_time:38646ms step_avg:116.40ms
step:333/1480 train_time:38763ms step_avg:116.41ms
step:334/1480 train_time:38876ms step_avg:116.40ms
step:335/1480 train_time:38993ms step_avg:116.40ms
step:336/1480 train_time:39109ms step_avg:116.40ms
step:337/1480 train_time:39226ms step_avg:116.40ms
step:338/1480 train_time:39341ms step_avg:116.39ms
step:339/1480 train_time:39459ms step_avg:116.40ms
step:340/1480 train_time:39574ms step_avg:116.39ms
step:341/1480 train_time:39692ms step_avg:116.40ms
step:342/1480 train_time:39807ms step_avg:116.40ms
step:343/1480 train_time:39925ms step_avg:116.40ms
step:344/1480 train_time:40039ms step_avg:116.39ms
step:345/1480 train_time:40156ms step_avg:116.40ms
step:346/1480 train_time:40272ms step_avg:116.39ms
step:347/1480 train_time:40392ms step_avg:116.40ms
step:348/1480 train_time:40506ms step_avg:116.40ms
step:349/1480 train_time:40623ms step_avg:116.40ms
step:350/1480 train_time:40739ms step_avg:116.40ms
step:351/1480 train_time:40857ms step_avg:116.40ms
step:352/1480 train_time:40972ms step_avg:116.40ms
step:353/1480 train_time:41091ms step_avg:116.40ms
step:354/1480 train_time:41205ms step_avg:116.40ms
step:355/1480 train_time:41322ms step_avg:116.40ms
step:356/1480 train_time:41438ms step_avg:116.40ms
step:357/1480 train_time:41555ms step_avg:116.40ms
step:358/1480 train_time:41672ms step_avg:116.40ms
step:359/1480 train_time:41789ms step_avg:116.40ms
step:360/1480 train_time:41903ms step_avg:116.40ms
step:361/1480 train_time:42021ms step_avg:116.40ms
step:362/1480 train_time:42136ms step_avg:116.40ms
step:363/1480 train_time:42254ms step_avg:116.40ms
step:364/1480 train_time:42370ms step_avg:116.40ms
step:365/1480 train_time:42486ms step_avg:116.40ms
step:366/1480 train_time:42600ms step_avg:116.39ms
step:367/1480 train_time:42718ms step_avg:116.40ms
step:368/1480 train_time:42833ms step_avg:116.39ms
step:369/1480 train_time:42951ms step_avg:116.40ms
step:370/1480 train_time:43068ms step_avg:116.40ms
step:371/1480 train_time:43185ms step_avg:116.40ms
step:372/1480 train_time:43300ms step_avg:116.40ms
step:373/1480 train_time:43417ms step_avg:116.40ms
step:374/1480 train_time:43533ms step_avg:116.40ms
step:375/1480 train_time:43650ms step_avg:116.40ms
step:376/1480 train_time:43765ms step_avg:116.40ms
step:377/1480 train_time:43883ms step_avg:116.40ms
step:378/1480 train_time:43999ms step_avg:116.40ms
step:379/1480 train_time:44116ms step_avg:116.40ms
step:380/1480 train_time:44232ms step_avg:116.40ms
step:381/1480 train_time:44351ms step_avg:116.41ms
step:382/1480 train_time:44466ms step_avg:116.40ms
step:383/1480 train_time:44583ms step_avg:116.40ms
step:384/1480 train_time:44698ms step_avg:116.40ms
step:385/1480 train_time:44817ms step_avg:116.41ms
step:386/1480 train_time:44932ms step_avg:116.40ms
step:387/1480 train_time:45050ms step_avg:116.41ms
step:388/1480 train_time:45166ms step_avg:116.41ms
step:389/1480 train_time:45283ms step_avg:116.41ms
step:390/1480 train_time:45398ms step_avg:116.40ms
step:391/1480 train_time:45515ms step_avg:116.41ms
step:392/1480 train_time:45630ms step_avg:116.40ms
step:393/1480 train_time:45748ms step_avg:116.41ms
step:394/1480 train_time:45863ms step_avg:116.40ms
step:395/1480 train_time:45981ms step_avg:116.41ms
step:396/1480 train_time:46097ms step_avg:116.41ms
step:397/1480 train_time:46214ms step_avg:116.41ms
